collision_date,year,mo,NUM_injuries,NUM_deaths
2012-07-08,2012,7,1,0
2012-07-08,2012,7,2,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,1,0
2012-07-08,2012,7,3,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,3,0
2012-07-09,2012,7,3,0
2012-07-09,2012,7,2,0
2012-07-09,2012,7,4,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,2,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,2,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,2,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,2,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,3,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,2,0
2012-07-09,2012,7,4,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,2,0
2012-07-09,2012,7,3,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,2,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,2,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,4,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,2,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,2,0
2012-07-09,2012,7,3,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,3,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,2,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,3,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,1,0
2012-07-09,2012,7,3,0
2012-07-09,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,4,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,2,0
2012-07-10,2012,7,3,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,2,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,5,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,2,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,3,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,2,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,2,0
2012-07-10,2012,7,2,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,3,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,3,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,4,0
2012-07-10,2012,7,3,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,2,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,2,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,2,0
2012-07-10,2012,7,2,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,4,0
2012-07-10,2012,7,2,0
2012-07-10,2012,7,2,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-10,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,4,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,2,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,5,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,2,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,2,0
2012-07-11,2012,7,2,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,2,0
2012-07-11,2012,7,2,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,4,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,4,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,2,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,2,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,14,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,2,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,3,0
2012-07-11,2012,7,2,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,2,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,2,0
2012-07-11,2012,7,2,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,4,0
2012-07-11,2012,7,4,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,1,0
2012-07-11,2012,7,3,0
2012-07-12,2012,7,1,0
2012-07-12,2012,7,1,0
2012-07-12,2012,7,1,0
2012-07-12,2012,7,2,0
2012-07-12,2012,7,1,0
2012-07-12,2012,7,2,0
2012-07-12,2012,7,1,0
2012-07-12,2012,7,1,0
2012-07-12,2012,7,1,0
2012-07-12,2012,7,1,1
2012-07-12,2012,7,1,0
2012-07-12,2012,7,1,0
2012-07-12,2012,7,1,0
2012-07-12,2012,7,3,0
2012-07-12,2012,7,1,0
2012-07-12,2012,7,3,0
2012-07-12,2012,7,4,0
