day,collision_date,NUM_COLLISIONS
3,2013-07-31,553
4,2013-08-01,643
5,2013-08-02,626
6,2013-08-03,492
7,2013-08-04,454
1,2013-08-05,545
2,2013-08-06,543
3,2013-08-07,508
4,2013-08-08,549
5,2013-08-09,579
6,2013-08-10,495
7,2013-08-11,481
1,2013-08-12,519
2,2013-08-13,552
3,2013-08-14,622
4,2013-08-15,599
5,2013-08-16,678
6,2013-08-17,504
7,2013-08-18,442
1,2013-08-19,462
2,2013-08-20,542
3,2013-08-21,562
4,2013-08-22,578
5,2013-08-23,636
6,2013-08-24,527
7,2013-08-25,459
1,2013-08-26,521
2,2013-08-27,506
3,2013-08-28,482
4,2013-08-29,572
5,2013-08-30,599
6,2013-08-31,480
7,2013-09-01,480
1,2013-09-02,431
2,2013-09-03,551
3,2013-09-04,604
4,2013-09-05,493
5,2013-09-06,524
6,2013-09-07,585
7,2013-09-08,500
1,2013-09-09,632
2,2013-09-10,629
3,2013-09-11,576
4,2013-09-12,695
5,2013-09-13,652
6,2013-09-14,519
7,2013-09-15,476
1,2013-09-16,570
2,2013-09-17,627
3,2013-09-18,571
4,2013-09-19,536
5,2013-09-20,631
6,2013-09-21,546
7,2013-09-22,585
1,2013-09-23,661
2,2013-09-24,615
3,2013-09-25,539
4,2013-09-26,516
5,2013-09-27,553
6,2013-09-28,547
7,2013-09-29,506
1,2013-09-30,605
2,2013-10-01,616
3,2013-10-02,647
4,2013-10-03,590
5,2013-10-04,658
6,2013-10-05,497
7,2013-10-06,404
1,2013-10-07,618
2,2013-10-08,574
3,2013-10-09,529
4,2013-10-10,559
5,2013-10-11,621
6,2013-10-12,556
7,2013-10-13,502
1,2013-10-14,440
2,2013-10-15,615
3,2013-10-16,548
4,2013-10-17,574
5,2013-10-18,680
6,2013-10-19,471
7,2013-10-20,490
1,2013-10-21,616
2,2013-10-22,540
3,2013-10-23,558
4,2013-10-24,632
5,2013-10-25,647
6,2013-10-26,626
7,2013-10-27,512
1,2013-10-28,620
2,2013-10-29,600
3,2013-10-30,558
4,2013-10-31,615
5,2013-11-01,710
6,2013-11-02,551
7,2013-11-03,415
1,2013-11-04,658
2,2013-11-05,510
3,2013-11-06,635
4,2013-11-07,646
5,2013-11-08,682
6,2013-11-09,571
7,2013-11-10,474
1,2013-11-11,456
2,2013-11-12,647
3,2013-11-13,593
4,2013-11-14,620
5,2013-11-15,617
6,2013-11-16,612
7,2013-11-17,532
1,2013-11-18,611
2,2013-11-19,600
3,2013-11-20,607
4,2013-11-21,628
5,2013-11-22,702
6,2013-11-23,536
7,2013-11-24,494
1,2013-11-25,710
2,2013-11-26,867
3,2013-11-27,742
4,2013-11-28,429
5,2013-11-29,437
6,2013-11-30,479
7,2013-12-01,420
1,2013-12-02,549
2,2013-12-03,553
3,2013-12-04,520
4,2013-12-05,573
5,2013-12-06,759
6,2013-12-07,567
7,2013-12-08,456
1,2013-12-09,639
2,2013-12-10,539
3,2013-12-11,605
4,2013-12-12,648
5,2013-12-13,695
6,2013-12-14,690
7,2013-12-15,450
1,2013-12-16,640
2,2013-12-17,703
3,2013-12-18,701
4,2013-12-19,607
5,2013-12-20,674
6,2013-12-21,594
7,2013-12-22,505
1,2013-12-23,707
2,2013-12-24,515
3,2013-12-25,257
4,2013-12-26,428
5,2013-12-27,476
6,2013-12-28,475
7,2013-12-29,394
1,2013-12-30,476
2,2013-12-31,465
3,2014-01-01,399
4,2014-01-02,603
5,2014-01-03,423
6,2014-01-04,418
7,2014-01-05,320
1,2014-01-06,518
2,2014-01-07,491
3,2014-01-08,616
4,2014-01-09,561
5,2014-01-10,667
6,2014-01-11,465
7,2014-01-12,388
1,2014-01-13,568
2,2014-01-14,559
3,2014-01-15,583
4,2014-01-16,521
5,2014-01-17,589
6,2014-01-18,448
7,2014-01-19,380
1,2014-01-20,360
2,2014-01-21,1161
3,2014-01-22,498
4,2014-01-23,612
5,2014-01-24,705
6,2014-01-25,475
7,2014-01-26,465
1,2014-01-27,511
2,2014-01-28,504
3,2014-01-29,649
4,2014-01-30,657
5,2014-01-31,560
6,2014-02-01,507
7,2014-02-02,417
1,2014-02-03,960
2,2014-02-04,613
3,2014-02-05,468
4,2014-02-06,569
5,2014-02-07,675
6,2014-02-08,424
7,2014-02-09,450
1,2014-02-10,678
2,2014-02-11,636
3,2014-02-12,640
4,2014-02-13,447
5,2014-02-14,792
6,2014-02-15,516
7,2014-02-16,464
1,2014-02-17,491
2,2014-02-18,518
3,2014-02-19,552
4,2014-02-20,556
5,2014-02-21,545
6,2014-02-22,587
7,2014-02-23,414
1,2014-02-24,569
2,2014-02-25,513
3,2014-02-26,511
4,2014-02-27,571
5,2014-02-28,655
6,2014-03-01,497
7,2014-03-02,344
1,2014-03-03,440
2,2014-03-04,532
3,2014-03-05,491
4,2014-03-06,558
5,2014-03-07,533
6,2014-03-08,515
7,2014-03-09,404
1,2014-03-10,513
2,2014-03-11,510
3,2014-03-12,515
4,2014-03-13,545
5,2014-03-14,585
6,2014-03-15,519
7,2014-03-16,412
1,2014-03-17,519
2,2014-03-18,551
3,2014-03-19,525
4,2014-03-20,627
5,2014-03-21,589
6,2014-03-22,493
7,2014-03-23,427
1,2014-03-24,547
2,2014-03-25,474
3,2014-03-26,563
4,2014-03-27,538
5,2014-03-28,530
6,2014-03-29,569
7,2014-03-30,437
1,2014-03-31,559
2,2014-04-01,549
3,2014-04-02,519
4,2014-04-03,592
